record_ID,units_sold
212645,13.172874
212646,13.172874
212647,8.3715
212648,8.3715
212649,9.509742
212653,9.509742
212654,6.509592
212657,6.509592
212658,6.509592
212661,13.172874
212662,13.172874
212663,11.972863
212666,8.3715
212667,8.3715
212668,9.509742
212671,8.893818
212672,9.509742
212673,6.509592
212674,39.393982
212675,5.019203
212676,6.218595
212677,6.509592
212678,6.509592
212679,9.509742
212681,7.615057
212682,7.615057
212683,3.9206357
212686,13.260178
212687,13.260178
212688,6.9409537
212689,5.019203
212691,8.3715
212692,8.3715
212693,9.509742
212694,6.7657795
212695,6.7657795
212696,6.7657795
212697,9.509742
212698,6.509592
212699,39.393982
212700,5.019203
212701,4.2392244
212702,6.509592
212703,6.509592
212704,6.509592
212705,8.463827
212706,7.615057
212707,8.463827
212709,3.9206357
212710,4.434737
212711,6.218595
212712,13.260178
212713,10.364905
212716,8.3715
212717,9.509742
212718,4.314227
212719,4.314227
212721,9.509742
212722,6.509592
212723,38.51939
212724,5.019203
212725,4.2392244
212727,6.509592
212728,9.509742
212729,9.509742
212731,7.615057
212732,8.463827
212734,3.9206357
212735,3.9206357
212736,3.9929206
212737,28.689943
212738,48.739643
212739,5.019203
212740,5.019203
212742,23.684227
212743,23.684227
212744,34.46651
212748,34.46651
212749,20.255878
212750,39.393982
212751,5.019203
212752,4.2392244
212754,23.770761
212755,13.704652
212756,20.250908
212757,8.463827
212758,7.615057
212759,7.615057
212760,2.3592906
212761,6.6800485
212763,3.9929206
212764,13.172874
212765,23.737831
212767,8.3715
212768,8.3715
212769,9.509742
212772,8.893818
212773,9.509742
212774,6.509592
212775,35.88782
212776,5.019203
212777,4.2392244
212778,6.509592
212779,6.509592
212782,8.463827
212783,8.463827
212787,13.172874
212788,13.172874
212789,11.972863
212790,5.019203
212792,8.3715
212793,8.3715
212794,9.509742
212796,9.509742
212797,9.509742
212798,39.393982
212799,5.019203
212800,4.2392244
212802,6.509592
212803,6.509592
212805,8.463827
212806,8.463827
212807,8.463827
212809,3.9206357
212812,10.364905
212816,8.3715
212817,8.3715
212818,9.509742
212819,4.314227
212820,4.314227
212821,6.7657795
212822,9.509742
212823,6.509592
212824,34.69182
212825,5.019203
212826,4.2392244
212828,6.509592
212829,9.509742
212830,9.509742
212831,7.615057
212832,7.615057
212833,7.615057
212834,10.364905
212835,10.364905
212837,8.3715
212838,8.3715
212839,9.509742
212840,6.7657795
212843,9.509742
212844,6.509592
212845,38.51939
212846,5.019203
212849,13.172874
212850,9.509742
212853,7.547802
212856,10.364905
212857,6.9409537
212860,8.3715
212861,8.3715
212862,9.509742
212863,4.314227
212866,9.509742
212867,6.509592
212868,39.393982
212869,5.019203
212870,4.2392244
212872,6.509592
212873,9.509742
212874,9.509742
212875,8.463827
