Id,SalePrice
1461,117961.2
1462,192668.75
1463,194817.2
1464,190146.58
1465,162635.38
1466,179270.45
1467,169401.34
1468,163416.05
1469,164744.2
1470,129594.55
1471,213656.83
1472,103973.78
1473,105821.734
1474,149505.39
1475,106252.586
1476,420675.0
1477,265764.12
1478,291299.28
1479,249697.42
1480,622512.6
1481,369829.1
1482,204180.05
1483,199401.6
1484,155026.61
1485,179798.92
1486,210258.9
1487,410357.75
1488,225912.5
1489,223654.81
1490,216415.33
1491,195820.61
1492,111704.26
1493,111634.15
1494,298737.0
1495,313400.16
1496,218433.98
1497,174615.8
1498,153327.03
1499,148892.44
1500,164314.06
1501,198248.94
1502,113751.195
1503,270439.2
1504,243483.89
1505,257645.03
1506,168488.88
1507,217316.64
1508,185172.61
1509,162293.22
1510,158578.1
1511,164213.86
1512,172919.84
1513,134322.64
1514,134621.95
1515,212376.56
1516,154067.89
1517,152416.55
1518,147933.78
1519,223403.1
1520,130317.5
1521,159277.31
1522,166836.27
1523,114743.17
1524,134936.03
1525,143307.4
1526,107013.42
1527,121684.39
1528,133425.17
1529,171496.17
1530,162603.34
1531,114905.83
1532,88892.59
1533,205743.98
1534,114479.516
1535,181160.81
1536,93485.8
1537,71888.26
1538,139123.42
1539,217518.69
1540,88897.76
1541,159321.14
1542,133715.81
1543,169888.34
1544,83248.516
1545,98609.14
1546,124256.34
1547,150949.92
1548,156656.58
1549,123489.35
1550,179315.05
1551,114713.06
1552,155660.66
1553,179846.23
1554,108854.266
1555,183580.28
1556,52493.562
1557,143938.28
1558,92842.82
1559,107363.62
1560,152413.44
1561,176873.98
1562,118608.99
1563,120470.43
1564,175264.3
1565,156438.25
1566,235945.08
1567,81267.42
1568,245227.66
1569,155112.31
1570,163842.27
1571,152083.45
1572,162636.6
1573,223335.67
1574,146419.97
1575,224325.77
1576,321204.9
1577,193304.39
1578,154713.47
1579,151748.3
1580,187073.36
1581,139943.38
1582,130148.58
1583,371787.47
1584,242492.95
1585,141424.1
1586,47387.242
1587,102668.984
1588,159701.95
1589,82039.15
1590,135034.36
1591,99329.18
1592,81125.37
1593,122100.24
1594,323562.0
1595,142195.97
1596,272663.03
1597,204918.5
1598,168048.78
1599,143169.0
1600,141414.22
1601,96999.53
1602,114020.04
1603,88938.03
1604,263915.06
1605,231843.34
1606,194601.45
1607,212965.56
1608,239789.02
1609,180168.89
1610,167811.28
1611,119495.72
1612,174262.02
1613,193668.67
1614,91254.41
1615,87215.48
1616,79298.89
1617,85091.06
1618,124043.19
1619,150907.53
1620,154328.86
1621,150007.72
1622,160879.97
1623,280295.16
1624,234459.47
1625,127507.49
1626,139453.22
1627,184079.0
1628,269242.03
1629,166373.94
1630,278613.84
1631,221948.22
1632,254201.38
1633,150050.58
1634,192448.34
1635,181166.0
1636,168525.69
1637,173318.36
1638,185325.78
1639,171527.66
1640,262109.81
1641,181298.05
1642,210875.02
1643,230888.52
1644,210386.72
1645,205651.14
1646,147609.67
1647,127318.0
1648,153935.81
1649,127361.01
1650,108522.59
1651,124467.97
1652,96523.695
1653,99695.67
1654,134478.97
1655,126550.08
1656,158454.2
1657,148883.48
1658,180764.64
1659,126667.14
1660,146734.12
1661,537493.3
1662,412767.22
1663,396511.78
1664,309410.72
1665,318955.34
1666,345301.0
1667,362060.03
1668,306123.44
1669,274662.6
1670,353678.75
1671,245261.84
1672,518218.6
1673,323491.22
1674,223179.62
1675,231237.27
1676,203262.62
1677,258038.77
1678,519973.62
1679,389969.56
1680,336875.5
1681,252318.98
1682,289766.03
1683,164643.4
1684,177737.3
1685,179455.11
1686,164546.28
1687,171570.2
1688,193588.25
1689,201274.94
1690,206713.94
1691,154032.64
1692,275452.1
1693,156431.97
1694,179755.28
1695,170776.34
1696,272338.66
1697,169272.27
1698,408560.44
1699,319925.0
1700,254163.44
1701,250049.4
1702,264131.5
1703,260530.42
1704,277358.22
1705,223711.0
1706,432471.75
1707,234026.77
1708,177721.39
1709,289800.72
1710,224157.03
1711,260278.75
1712,265382.16
1713,345275.7
1714,232628.6
1715,199853.94
1716,193229.88
1717,155277.03
1718,111370.89
1719,206766.83
1720,204636.4
1721,127496.875
1722,91772.43
1723,163701.92
1724,190228.6
1725,244276.2
1726,195046.78
1727,145524.33
1728,186090.16
1729,158538.42
1730,166619.4
1731,99779.625
1732,126224.18
1733,124306.2
1734,76845.81
1735,116403.56
1736,107988.64
1737,133807.23
1738,197001.83
1739,357704.44
1740,301040.44
1741,193023.11
1742,207937.89
1743,184898.34
1744,275728.8
1745,228733.3
1746,210905.1
1747,226586.88
1748,212845.9
1749,168826.7
1750,99573.24
1751,235098.77
1752,116942.54
1753,155014.6
1754,178072.44
1755,177265.14
