PassengerId,Survived
892,0.22083077
893,0.24583098
894,0.2477408
895,0.19239402
896,0.41611898
897,0.24985123
898,0.49670255
899,0.35828495
900,0.49908397
901,0.15085661
902,0.18733957
903,0.23484257
904,0.6877953
905,0.1615248
906,0.4937018
907,0.6400246
908,0.40130186
909,0.22876948
910,0.35324287
911,0.33441326
912,0.21421295
913,0.28184968
914,0.61452436
915,0.49422607
916,0.9080764
917,0.09456667
918,0.74893206
919,0.22212854
920,0.26691478
921,0.1360639
922,0.21126607
923,0.28847596
924,0.3917675
925,0.429237
926,0.33581644
927,0.24015245
928,0.41814852
929,0.46334177
930,0.20171353
931,0.2706049
932,0.1802817
933,0.32752717
934,0.14216119
935,0.62165505
936,0.485282
937,0.19924185
938,0.26146173
939,0.2503401
940,0.5431333
941,0.43458745
942,0.3568564
943,0.3865708
944,0.5860121
945,0.88377297
946,0.3818366
947,0.17816961
948,0.16180268
949,0.19881263
950,0.15635112
951,0.9310798
952,0.23352998
953,0.33520475
954,0.22877038
955,0.54750335
956,0.8385023
957,0.6514947
958,0.57285726
959,0.26000327
960,0.33296704
961,0.88159597
962,0.53497356
963,0.21586883
964,0.41169626
965,0.34538114
966,0.8938459
967,0.742409
968,0.1875695
969,0.29443678
970,0.34549004
971,0.53497356
972,0.27720213
973,0.4761811
974,0.22145084
975,0.18733957
976,0.44062355
977,0.16512963
978,0.5163249
979,0.4808024
980,0.5096745
981,0.49174082
982,0.39662695
983,0.18715957
984,0.642281
985,0.1875695
986,0.36181155
987,0.19904009
988,0.35722303
989,0.18355283
990,0.4676813
991,0.16901052
992,0.5253015
993,0.32428592
994,0.2503401
995,0.19499674
996,0.46448123
997,0.21012726
998,0.285239
999,0.2503401
1000,0.18856001
1001,0.41402763
1002,0.3064863
1003,0.50974596
1004,0.5853295
1005,0.5683215
1006,0.7579686
1007,0.20310578
1008,0.1977418
1009,0.5589574
1010,0.4099195
1011,0.5867745
1012,0.72708726
1013,0.19855234
1014,0.58096427
1015,0.18637884
1016,0.2503401
1017,0.5309465
1018,0.21144468
1019,0.39970982
1020,0.28025773
1021,0.20351627
1022,0.17260149
1023,0.2221857
1024,0.5563966
1025,0.15459123
1026,0.13614124
1027,0.2032057
1028,0.20509896
1029,0.3687687
1030,0.44927424
1031,0.24810827
1032,0.31147146
1033,0.81953365
1034,0.69535035
1035,0.38676476
1036,0.2545746
1037,0.087845415
1038,0.38424706
1039,0.21185991
1040,0.32752717
1041,0.328802
1042,0.7815857
1043,0.20001665
1044,0.097286195
1045,0.425668
1046,0.13492125
1047,0.20272389
1048,0.90906024
1049,0.44879997
1050,0.2545746
1051,0.4923972
1052,0.5096336
1053,0.27215075
1054,0.64631826
1055,0.18600798
1056,0.28540057
1057,0.41464204
1058,0.28682762
1059,0.20448107
1060,0.6245192
1061,0.45777228
1062,0.18682468
1063,0.20303977
1064,0.17073932
1065,0.19897437
1066,0.20469427
1067,0.7899574
1068,0.7276361
1069,0.21196607
1070,0.70864546
1071,0.5822399
1072,0.34549004
1073,0.37423068
1074,0.65272546
1075,0.2503401
