ID,default_payment_next_month
10178,0.0
5304,0.0
5187,0.0
14495,0.0
20444,0.0
17667,0.0
21211,0.004532814
7178,0.0
20783,0.0
24033,1.2516975e-06
754,0.0
23732,0.26648954
6072,0.0
17662,0.0
5541,0.05836487
22697,7.1942806e-05
29905,0.0
6695,0.0
12664,1.0
15392,0.0
309,1.0
16129,1.0
6324,0.0
23673,0.8974037
28889,1.2516975e-06
17687,0.0
27129,0.0
8487,0.0
10304,1.4901161e-07
14991,0.0
8380,0.0
17401,4.172325e-06
15805,0.0
17839,0.0
24324,1.0
5925,1.0
11137,0.0
9991,0.0
6622,1.0
17112,8.940697e-08
7694,0.0
23055,0.0
19684,0.46319407
26520,1.0
8633,1.0
15602,0.0
21244,0.0
9804,0.0
24276,0.0
11723,0.0
23656,0.0
9047,0.0
9246,0.0
650,0.9999866
4330,0.0
27006,0.9999999
6766,0.0
14481,2.2053719e-06
18262,0.0
22076,0.0
24238,0.0035947561
12731,0.0
2226,0.0
17380,0.7598794
22072,0.0
27390,1.0
19619,0.0
12919,0.00026893616
6537,0.0
24342,1.0
772,0.0
12966,0.0
18832,0.0
9347,5.90086e-06
29171,0.9999999
18604,0.6869177
25368,0.0
14414,0.0
4515,0.0
27668,0.0
20039,0.0
28604,1.0
19283,0.0
29592,1.1473894e-05
5952,0.0
14746,1.0
8135,1.0
936,0.0
15106,1.0
13717,0.9999833
15431,0.0
12176,0.0
26616,0.99602365
6585,0.0
13415,0.0
28033,1.4901161e-07
18775,1.0
22414,0.86453617
13628,1.0
4437,0.105760604
14083,0.0
6745,0.9688567
11214,0.0042123497
1200,0.0
24915,0.0
15317,0.0
25130,0.0
21497,0.0
2432,0.99999976
4312,0.0
3390,0.0
20785,0.0
12516,0.0
17228,0.0
1845,0.0
13834,0.9999456
2290,2.0861626e-06
21988,0.0
10445,0.0
11991,0.0
6818,0.0
19525,0.0
12878,2.9802322e-08
15762,1.0
21397,0.0
13127,0.0
25072,0.0
3227,0.0
7260,0.0
4366,0.0063530505
2185,0.0
14132,0.0
10094,0.00012105703
6815,0.0
10788,0.0
7364,0.0
28316,0.0
23427,1.0
21496,8.6426735e-07
4802,1.0
23522,0.0
28206,5.364418e-07
21212,0.0
12017,7.414818e-05
3081,0.0
20225,0.0
23735,0.0
28396,0.0
12618,0.0
21897,2.1457672e-06
26866,1.0
16713,0.0
3319,0.0020298064
1177,1.7881393e-07
3511,0.0
29192,0.0
3229,0.0
28167,1.4901161e-07
17445,0.00017228723
13853,0.0
26977,0.0
16572,1.0
4969,7.134676e-05
10276,0.0
18699,0.0
24230,1.0
14127,0.0
15285,0.0
9057,0.0
314,0.9978473
7726,0.0006491542
5723,0.0
9072,0.0
14107,1.1920929e-07
145,0.054034054
24423,0.31220412
22725,1.0
20076,0.0
8284,0.0
8913,0.0
6326,0.0053117275
13918,0.0
2020,0.99999225
8805,1.9073486e-06
18822,0.0
20055,0.0
1254,0.0
10785,1.0
18392,0.0
6679,0.00037235022
2433,1.0
17303,0.0
23846,0.0
12631,0.0
16250,0.0
26577,0.0
18831,0.0
14697,0.0
20765,5.6684017e-05
26177,0.0
29311,0.0
24408,0.0
6383,0.00048828125
20685,1.0
3809,0.0
21273,0.0
18934,0.0
14851,0.0
15039,0.0
28924,0.0
20323,0.0004003346
4159,0.00020837784
23311,0.9999999
18500,0.0
12312,0.0
5176,0.0
29809,0.0
8224,1.0
26644,1.0
21569,0.0
3908,0.99999905
14974,1.0
19720,0.0
13244,2.682209e-07
18037,0.0
29716,1.0
6784,1.0
3110,0.25753158
26797,0.0
29080,0.0
19229,0.0020202994
16329,5.9604645e-08
13004,0.0
25354,0.9991981
7464,0.0
7911,0.0
15409,0.0
20893,0.0
10835,0.0
21892,1.0
25921,0.0
26056,5.662441e-07
26809,0.0
13321,0.0
17387,1.0
21143,0.0
213,0.0
19401,1.0
19504,0.0
5788,0.0
18353,0.00043162704
2683,9.23872e-07
2159,0.0
899,7.7694654e-05
10693,0.0
23451,0.0
18539,0.0
4715,0.0
9989,0.0
12692,4.8547983e-05
12160,0.9947424
10603,0.0
13458,8.940697e-08
5694,3.5762787e-07
2888,0.0
29839,0.0
7413,0.03534496
21942,0.99958014
9221,0.0
20226,0.0
2883,0.0
14234,0.99915445
13370,1.0
2446,1.0
6214,0.0
6431,1.0
19417,0.0
15768,0.0024000406
7945,1.0
1286,0.0
15942,0.0
6508,0.0
23485,0.0
23138,2.0861626e-07
26282,0.0
5028,0.0083838105
24578,0.0
12846,1.0
23194,0.0
15680,7.480383e-06
11623,0.1477502
304,3.5762787e-07
7304,0.0
3448,1.0
28975,1.0
25985,0.97386664
29680,0.0
1043,0.0
28212,0.0
5098,0.0
17148,0.0
26345,0.0
28029,0.0
16256,0.0
22932,0.0
17648,0.0
13904,0.0
14574,0.0
7731,1.4901161e-05
2694,0.0
14342,0.0
9339,0.0009939075
19614,0.0
3209,0.0
11420,0.9999904
6280,0.0
13347,0.0
22568,0.0
22426,0.0
27103,0.00014019012
28811,0.0
27614,0.9999924
17094,0.0
8391,1.0
14918,0.00016799569
18374,0.22228158
24387,6.735325e-06
5525,0.14576471
29090,0.0
11319,1.0
19054,0.0
20881,0.72495073
13047,0.0
8339,0.0
8866,0.0
8966,1.937151e-06
24917,0.0
24622,0.0
7525,0.0
23942,1.0
8918,1.4901161e-07
2751,0.0
24940,0.0
12726,0.0
23993,0.0
10175,0.0
14554,0.0
6442,0.0
14666,0.0
18743,0.0
12144,0.0021199882
25599,0.0
27155,1.0
11265,1.0
26947,0.8681561
25937,1.0
20353,0.07160941
11634,0.0
28096,0.99977547
19067,1.4901161e-07
18946,0.0
25215,0.0
5430,0.0
24433,0.0
29306,0.0
20713,0.0
16168,0.0
4038,0.0
16618,0.0
10706,3.874302e-07
17714,0.0
23060,1.0
28099,0.0
19158,0.0
16577,0.0
18448,0.0
18991,0.0
2307,0.0
13025,0.0
26861,0.0
11334,1.0
25761,0.0
8240,0.0
20962,4.7683716e-07
12873,2.9802322e-08
6196,0.0
18890,0.0
11239,0.0
25073,0.0
16475,0.0
28874,0.0
12850,0.0
6336,0.0
18737,0.02083537
29149,0.0
11545,0.0
14044,0.0
6390,0.0
22097,0.0
7515,0.0
9284,0.0
28254,0.0
12428,0.0
12832,1.0
13034,0.0
10658,0.0
29479,0.9998895
10053,0.0
4266,0.0
18526,0.0
19999,0.0
2527,0.0
29189,0.0
18321,0.0
11724,0.0
10898,0.0
22944,0.003698945
17035,5.6028366e-06
3120,0.0
10269,0.0
24595,0.0
22758,1.0
12378,0.0
8775,0.0
15093,0.0
26474,0.0
16827,0.24656966
16201,0.0
21709,0.0
22681,0.0
20306,5.066395e-07
4414,0.0
25408,0.0
6107,0.00032669306
13480,5.662441e-07
14147,0.18984675
11558,0.0
16019,0.0
28778,0.0
26792,0.0
23923,0.0
7252,2.425909e-05
13779,1.0
12030,1.0
25121,0.0
8196,0.9944192
11353,1.0
21112,1.013279e-06
26842,0.0
27705,1.0
5556,0.0
25388,0.0
6696,0.0
23596,0.0
27455,0.0
7675,0.0
25532,0.0
14328,1.0
2365,0.0
15954,1.1920929e-07
2508,0.94218624
5125,2.682209e-07
4652,0.0
20786,0.0
14561,0.0
14607,0.0
27918,0.0
26501,1.0
9877,0.9999217
4979,0.0
23354,0.0
21406,0.0
21135,0.0
22004,0.0
5808,0.0
25719,0.0
4320,1.0
13267,0.0
16591,0.98110867
27663,1.0
20130,0.99999976
14669,1.0430813e-05
2014,0.8858855
26039,0.0
20160,1.4781952e-05
4483,3.5762787e-07
16716,0.0
10020,2.9802322e-07
3373,0.0
7203,0.0
18089,0.0
12036,1.0
14795,0.0
17211,0.0
9319,0.0
5011,0.0
24188,1.0
26689,2.0861626e-07
8491,0.001236856
28752,0.0
22092,0.0
24307,0.0
21826,0.9999999
14272,0.0
27609,0.0
16810,1.0
16052,0.0
23428,0.0
17002,0.18015805
3593,1.0
7299,0.0
13655,0.0
26722,0.0
27897,0.0
14690,0.0
13946,0.0
18088,0.0
24493,0.0
23423,1.3977289e-05
3544,0.0
21238,0.0
14415,0.99989414
21776,0.0
746,0.0
964,8.940697e-08
12573,4.3213367e-06
1119,0.0002836287
24894,0.0
21855,0.0
23988,0.0
3640,0.0
26538,0.0
20036,0.0
22454,0.00014930964
8403,0.0
11704,0.0
9524,0.0
13982,0.0
13331,0.03835994
26961,0.0
27119,0.0
2844,1.0
27690,8.940697e-08
28157,0.0
6478,0.0
24766,0.0
2989,0.0
1662,1.0
22734,0.0
27096,5.543232e-06
21646,0.0
24197,0.054459214
27983,0.0
28471,1.0
20835,0.0
7139,0.0
8039,0.0
25442,0.0
7372,6.735325e-06
17338,0.0
16644,0.96427536
26236,9.4771385e-06
16612,1.0
29075,0.08626571
22962,9.3370676e-05
16232,0.0
1325,0.0
13368,0.0
6564,0.0
16291,0.0
5536,0.0
27721,0.9998442
26363,3.874302e-06
9580,0.081680775
21320,0.0014466047
7649,0.0
5274,0.99999976
4072,0.0
28612,1.0
11241,1.0
1135,1.0
23543,0.0
10512,0.0
23925,0.0
29641,0.0
21365,0.00035583973
16204,0.0
18028,0.0
3695,0.0
28042,0.0
2878,0.04887685
19837,0.0
7120,0.0
24793,2.026558e-06
231,0.0
28009,0.0
17188,0.99515104
476,0.0
18432,0.0
8309,4.9561262e-05
13881,0.0
11501,1.0
14227,0.9999869
19452,1.0
21315,0.577007
24633,0.0
18903,0.99999964
28934,2.9802322e-08
12633,0.0
3780,0.0
478,0.0
7917,0.0
5904,0.99999225
14649,0.0
12806,0.3631019
12496,1.0
3501,1.0
23998,0.0
18014,0.0
9497,0.0
26439,0.0
12553,0.0
9671,0.0
2305,0.0
20194,0.0
5270,0.0
11553,0.0
22256,0.0
23168,0.0
3455,1.0
919,0.0
17481,1.1920929e-07
25850,0.0
647,0.99999964
3299,1.7881393e-07
4431,0.0
19134,0.99998915
23285,0.0
26740,0.0
9287,1.0
25744,0.0
5014,0.0
28395,0.0
12562,0.0
15997,0.0
26360,0.0
4734,0.9881772
26798,2.9802322e-08
23660,0.0
28530,0.99999994
20185,0.0
12114,1.0
4133,0.0
6525,4.440546e-06
6292,1.0
2139,0.0
4611,0.17799833
25208,0.00013449788
10478,3.9041042e-06
9942,0.0
3297,0.0
20745,0.0
2930,0.0
18747,9.402633e-05
1878,0.0
