CustomerID,Customer.Lifetime.Value
17,469.7603
19,1312.7546
29,1539.1167
34,2094.979
37,558.8974
44,2316.7068
48,1006.3912
49,776.7548
54,3207.9587
65,937.3193
77,1006.3912
80,610.51056
94,2005.8666
95,684.10785
107,718.7537
113,684.10785
115,469.7603
131,3311.357
144,469.7603
148,4979.1235
157,2593.9634
158,462.255
191,1800.6672
196,2094.979
198,1238.029
203,1301.7369
224,469.7603
232,3572.5718
235,703.22455
245,1006.3912
250,817.61597
253,937.3193
258,684.10785
261,1539.1167
262,817.61597
263,883.70776
275,802.96
279,937.3193
285,1121.8518
286,2114.8376
290,3572.5718
304,1075.874
305,979.71454
310,469.7603
312,1121.8518
313,2094.979
317,937.3193
318,2393.3682
324,2005.8666
334,1800.6672
337,2533.541
358,927.2852
359,1594.7372
382,2393.3682
395,612.7877
396,1205.895
400,897.2383
406,1006.3912
409,1075.874
410,937.3193
421,1571.3887
436,1006.3912
438,817.61597
439,469.7603
451,3216.9917
452,462.255
479,937.3193
481,925.43036
487,462.255
507,469.7603
509,937.3193
512,950.8498
521,1489.134
528,3560.4834
530,1123.9663
532,1344.7885
546,1589.6747
549,469.7603
550,724.1623
551,3572.5718
571,4700.9556
574,462.255
575,973.07495
588,2519.2122
595,2393.3682
602,973.07495
616,1800.6672
619,957.71246
624,558.8974
627,937.3193
635,1800.6672
649,1981.7445
663,1417.6273
666,469.7603
673,2136.6746
686,1109.9352
719,462.255
724,1238.029
728,2420.3064
735,817.61597
741,703.22455
744,1421.5896
754,1734.7971
774,5724.352
780,1234.9473
802,897.2383
828,469.7603
833,1248.4583
836,1075.874
837,462.255
842,817.61597
843,1001.2899
850,1539.1167
852,558.8974
858,2479.1892
865,2005.8666
874,1417.6273
876,937.3193
878,2094.979
880,950.8498
889,684.10785
890,469.7603
895,469.7603
904,469.7603
907,2094.979
908,1021.7538
913,1417.6273
923,1174.8828
925,2521.0256
940,1335.0695
950,469.7603
958,703.22455
965,469.7603
966,684.10785
974,1539.1167
977,3436.1306
978,1121.8518
981,1070.7728
1004,469.7603
1006,897.2383
1015,937.3193
1016,1694.6049
1020,3311.357
1021,469.7603
1027,2975.989
1040,703.22455
1043,986.3244
1058,3572.5718
1060,986.3244
1068,462.255
1078,1539.1167
1090,2469.382
1111,3572.5718
1116,937.3193
1126,1417.6273
1145,3572.5718
1157,2658.383
1159,703.22455
1162,1297.6892
1169,986.3244
1172,817.61597
1184,462.255
1188,1539.1167
1191,1539.1167
1196,1297.6892
1210,1386.5074
1225,883.70776
1231,6978.973
1234,469.7603
1235,2393.3682
1244,1268.8464
1245,1594.7372
1254,558.8974
1258,469.7603
1270,957.71246
1276,3311.357
1277,937.3193
1279,469.7603
1293,2607.1995
1298,937.3193
1303,3572.5718
1313,2639.8484
1319,1734.7971
1322,1489.134
1328,469.7603
1334,469.7603
1351,893.3594
1363,464.92902
1366,1800.6672
1370,897.2383
1383,3572.5718
1391,1987.1958
1401,1421.5896
1404,1859.484
1408,1421.5896
1412,1218.3379
1418,558.8974
1419,1335.0695
1420,558.8974
1431,1539.1167
1437,1539.1167
1450,957.71246
1460,543.0205
1464,1297.6892
1475,2521.0256
1476,469.7603
1478,703.22455
1485,937.3193
1493,1308.5127
1494,558.8974
1498,3560.4834
1500,1545.7239
1522,1421.5896
1524,540.34656
1526,2119.101
1532,1238.029
1533,2316.7068
1542,1006.3912
1546,1268.1525
1549,2094.979
1550,469.7603
1561,1335.0695
1567,2519.2122
1570,703.22455
1573,4410.492
1584,1421.5896
1599,986.3244
1605,2316.7068
1613,1228.7445
1618,469.7603
1619,883.70776
1638,5008.2383
1639,2005.8666
1655,986.3244
1659,1417.6273
1660,2094.979
1674,2420.3064
1677,2393.3682
1678,2005.8666
1683,937.3193
1688,1421.5896
1692,1301.7369
1714,791.67017
1716,469.7603
1718,684.10785
1719,1539.1167
1721,558.8974
1735,1174.8828
1737,1301.7369
1741,1776.0531
1744,2203.4727
1749,3207.9587
1752,979.71454
1759,5962.2407
1770,817.61597
1771,1539.1167
1775,558.8974
1777,986.3244
1787,1589.6747
1789,977.1656
1796,558.8974
1804,950.8498
1805,2362.8687
1808,558.8974
1812,1421.5896
1818,1344.7885
1822,937.3193
1828,558.8974
1829,1571.3887
1848,929.83405
1855,948.3009
1859,1075.874
1866,2835.883
1871,467.0863
1872,937.3193
1878,469.7603
1887,612.7877
1891,925.43036
1906,1075.874
1909,462.255
1912,1116.7505
1915,992.06445
1929,925.43036
1934,1075.874
1946,2094.979
1953,2259.7024
1959,1594.7372
1962,791.67017
1968,1545.7239
1976,469.7603
1978,1800.6672
1979,986.3244
1980,3207.9587
1981,957.71246
1999,558.8974
2006,3572.5718
2008,1006.6998
2018,2119.101
2022,558.8974
2027,1070.7728
2039,883.70776
2041,724.1623
2056,1800.6672
2060,1301.7369
2062,469.7603
2065,937.3193
2066,1800.6672
2069,469.7603
2070,937.3193
2074,897.2383
2079,2479.1892
2091,1545.7239
2093,3704.379
2095,1006.3912
2097,883.70776
2103,1914.9465
2112,937.3193
2113,937.3193
2114,1539.1167
2115,1006.3912
2117,1196.5725
2122,937.3193
2129,1301.7369
2131,462.255
2151,2639.8484
2152,2393.3682
2153,3572.5718
2155,1006.3912
2160,937.3193
2172,2005.8666
2177,979.71454
2178,817.61597
2183,2449.0422
2185,469.7603
2188,5019.7124
2191,937.3193
2195,1970.3663
2196,893.3594
2197,1006.3912
2199,2393.3682
2202,2005.8666
2203,1297.6892
2209,937.3193
2227,2203.4727
2235,1393.7709
2240,957.71246
2259,462.255
2263,1981.7445
2281,1006.3912
2286,2316.7068
2288,1021.7538
2293,2357.4272
2299,5325.121
2301,1006.3912
2312,462.255
2316,1545.7239
2358,1981.7445
2365,1800.6672
2366,1297.6892
2371,703.22455
2374,3560.4834
2377,2316.7068
2389,469.7603
2396,2119.101
2401,1301.7369
2406,1312.7546
2410,469.7603
2453,1238.029
2479,1594.7372
2481,5962.2407
2482,558.8974
2484,3572.5718
2503,1800.6672
2512,2774.8423
2515,2203.4727
2522,1006.3912
2523,694.90393
2525,469.7603
2534,1006.3912
2543,1594.7372
2547,703.22455
2551,1589.6747
2552,1800.6672
2557,703.22455
2561,2663.3005
2569,462.255
2571,724.1623
2576,3560.4834
2589,2094.979
2603,1800.6672
2608,464.92902
2615,462.255
2622,3572.5718
2640,1121.8518
2670,817.61597
2673,3572.5718
2674,469.7603
2676,2094.979
2688,1116.7505
2693,2163.3167
2706,2203.4727
2711,558.8974
2713,1006.3912
2728,703.22455
2733,1421.5896
2744,558.8974
2751,807.5666
2758,1417.6273
2766,1006.3912
2772,469.7603
2803,1268.1525
2806,3649.3132
2813,2203.4727
2815,462.255
2819,950.8498
2824,703.22455
2825,2639.8484
2834,1203.1866
2836,937.3193
2847,2005.8666
2849,937.3193
2850,2307.1946
2852,937.3193
2855,807.5666
2856,3560.4834
2861,469.7603
2878,469.7603
2881,1981.7445
2882,3572.5718
2891,469.7603
2908,1512.7389
2911,2519.2122
2916,817.61597
2922,2289.3489
2926,1248.4583
2937,817.61597
2957,817.61597
2958,558.8974
2965,2203.4727
2970,469.7603
2972,1900.8496
2974,684.10785
2980,1420.759
2982,5325.121
2983,937.3193
3004,2362.8687
3008,2119.101
3026,937.3193
3028,4980.608
3030,2203.4727
3041,2393.3682
3044,1006.3912
3045,558.8974
3049,883.70776
3085,558.8974
3094,1006.3912
3095,469.7603
3100,469.7603
3108,469.7603
3109,3572.5718
3113,1594.7372
3114,937.3193
3130,3498.366
3131,957.71246
3136,2005.8666
3137,2203.4727
3145,3560.4834
3147,2521.0256
3152,1981.7445
3156,935.082
3164,462.255
3172,1594.7372
3175,817.61597
3182,883.70776
3185,1006.3912
3208,703.22455
3213,703.22455
3215,973.07495
3216,469.7603
3219,558.8974
3221,807.5666
3224,817.61597
3227,957.71246
3230,1155.7756
3253,1535.688
3262,3572.5718
3266,986.3244
3269,1694.6049
3270,883.70776
3276,469.7603
3286,3293.5776
3288,957.71246
3291,1021.7538
3294,1768.127
3300,883.70776
3305,3572.5718
3317,817.61597
3330,1070.7728
3333,1981.7445
3337,684.10785
3350,1694.6049
3381,1589.6747
3382,817.61597
3387,694.90393
3394,2316.7068
3396,703.22455
3411,462.255
3415,1075.874
3417,950.8498
3418,469.7603
3421,1594.7372
3422,462.255
3425,462.255
3448,934.77045
3457,543.0205
3461,1218.3379
3463,558.8974
3467,462.255
3471,469.7603
3484,543.0205
3491,1561.9979
3493,1075.874
3494,2119.101
3497,5271.3135
3501,1116.7505
3502,790.04553
3509,1006.3912
3516,684.10785
3526,2005.8666
3531,2167.9724
3534,1335.0695
3543,986.3244
3544,5724.352
3547,1939.0685
3558,462.255
3563,1981.7445
3565,469.7603
3569,1075.874
3570,937.3193
3577,558.8974
3583,950.8498
3584,2167.9724
3585,1539.1167
3590,1258.1772
3595,1800.6672
3597,802.96
3620,1594.7372
3628,817.61597
3638,1914.9465
3655,2362.8687
3663,950.8498
3666,883.70776
3673,937.3193
3676,1268.8464
3690,883.70776
3693,3207.9587
3697,3340.318
3698,1800.6672
3703,937.3193
3708,535.51526
3709,937.3193
3718,2005.8666
3722,1268.8464
3724,1981.7445
3725,3572.5718
3727,469.7603
3741,937.3193
3743,2145.7732
3746,464.92902
3747,558.8974
3749,937.3193
3751,2499.6326
3752,1421.5896
3753,937.3193
3764,462.255
3767,558.8974
3789,950.8498
3791,462.255
3794,791.67017
3798,3216.9917
3802,1021.7538
3807,1694.6049
3819,2393.3682
3820,1268.1525
3824,937.3193
3828,897.2383
3835,462.255
3838,817.61597
3839,5724.352
3841,817.61597
3842,883.70776
3853,1268.1525
3857,1268.1525
3858,469.7603
3860,2203.4727
3866,1535.688
3873,1398.9386
3894,979.71454
3895,558.8974
3900,462.255
3904,703.22455
3905,469.7603
3909,2430.2222
3911,2167.9724
3917,469.7603
3920,462.255
3934,950.8498
3935,937.3193
3938,469.7603
3939,684.10785
3942,469.7603
3945,3572.5718
3947,2393.3682
3961,2005.8666
3965,462.255
3970,5724.352
3972,1238.029
3975,2094.979
3990,817.61597
4014,817.61597
4015,1417.6273
4025,2005.8666
4038,703.22455
4044,3560.4834
4047,469.7603
4053,1420.759
4056,2005.8666
4071,1344.7885
4072,937.3193
4073,1075.874
4074,1297.6892
4075,817.61597
4077,462.255
4083,1297.6892
4086,817.61597
4090,2011.3177
4104,937.3193
4107,2581.875
4108,464.92902
4112,724.1623
4114,469.7603
4121,1006.3912
4124,973.07495
4126,883.70776
4131,1539.1167
4137,742.2072
4144,979.71454
4151,1121.8518
4159,802.96
4165,4074.2886
4169,1006.3912
4178,469.7603
4198,937.3193
4202,802.96
4205,684.10785
4216,2005.8666
4223,1539.1167
4224,2439.7356
4264,469.7603
4273,469.7603
4281,1196.5725
4312,558.8974
4313,883.70776
4315,2362.8687
4331,703.22455
4340,469.7603
4344,957.71246
4345,2316.7068
4346,950.8498
4351,1539.1167
4358,817.61597
4369,1075.874
4376,462.255
4383,558.8974
4390,1571.3887
4393,469.7603
4394,937.3193
4400,883.70776
4401,703.22455
4417,883.70776
4422,1238.029
4431,1571.3887
4439,729.5498
4442,1800.6672
4443,1594.7372
4446,937.3193
4451,469.7603
4455,950.8498
4462,469.7603
4463,469.7603
4465,2094.979
4475,1021.7538
4481,1006.6998
4495,1121.8518
4503,469.7603
4510,2420.3064
4515,1981.7445
4523,1539.1167
4539,4580.7944
4548,2519.2122
4551,2005.8666
4554,1021.7538
4565,2593.9634
4588,1539.1167
4591,5962.2407
4593,1344.7885
4609,464.92902
4631,1420.759
4656,3572.5718
4661,817.61597
4677,934.77045
4679,1006.3912
4681,612.7877
4684,2393.3682
4686,883.70776
4699,1335.0695
4705,1800.6672
4724,1694.6049
4725,2167.9724
4732,3572.5718
4747,469.7603
4755,2393.3682
4761,2519.2122
4764,2167.9724
4768,802.96
4774,957.71246
4782,1021.7538
4783,2094.979
4787,558.8974
4789,2203.4727
4792,558.8974
4793,462.255
4804,1006.3912
4808,1377.208
4809,937.3193
4817,469.7603
4818,703.22455
4823,2119.101
4824,2167.9724
4826,469.7603
4828,817.61597
4830,1006.6998
4849,5271.3135
4866,1021.7538
4870,3572.5718
4876,1535.688
4879,1301.7369
4896,817.61597
4902,2393.3682
4907,897.2383
4928,1539.1167
4930,807.5666
4954,937.3193
4962,2519.2122
4969,883.70776
4971,1970.3663
4992,1075.874
4998,937.3193
5001,3572.5718
5002,2167.9724
5004,1914.9465
5008,2519.2122
5017,883.70776
5037,462.255
5051,893.3594
5053,1987.1958
5058,937.3193
5062,1800.6672
5080,2835.883
5086,883.70776
5095,3572.5718
5099,469.7603
5108,462.255
5112,2632.342
5128,890.8104
5150,469.7603
5152,2560.2134
5155,3572.5718
5156,937.3193
5173,970.225
5186,462.255
5189,2504.6626
5202,937.3193
5205,2094.979
5210,558.8974
5211,1539.1167
5220,937.3193
5222,469.7603
5225,1006.3912
5226,937.3193
5231,2094.979
5235,1109.9352
5239,1006.6998
5258,2167.9724
5264,1539.1167
5275,1301.7369
5277,1245.303
5290,3560.4834
5300,2449.0422
5305,937.3193
5308,1245.303
5311,2119.101
5313,469.7603
5315,1594.7372
5318,1800.6672
5321,2362.8687
5324,937.3193
5327,3572.5718
5337,2469.382
5369,986.3244
5391,3903.824
5392,1545.7239
5393,2663.3005
5396,1539.1167
5401,1075.874
5410,6978.973
5414,1420.759
5427,3560.4834
5428,684.10785
5429,950.8498
5439,1006.3912
5456,2271.2542
5457,937.3193
5461,1335.0695
5462,1914.9465
5468,986.3244
5469,2519.2122
5481,1238.4199
5482,2119.101
5499,462.255
5501,791.67017
5504,543.0205
5511,1205.895
5516,469.7603
5520,817.61597
5521,462.255
5532,1589.6747
5548,3649.3132
5552,817.61597
5558,3572.5718
5559,469.7603
5567,986.3244
5579,703.22455
5590,817.61597
5592,1245.303
5599,2307.1946
5600,979.71454
5602,937.3193
5603,937.3193
5622,3716.4673
5623,558.8974
5625,1335.0695
5627,937.3193
5628,3572.5718
5629,963.1223
5630,3572.5718
5636,462.255
5652,469.7603
5665,462.255
5670,469.7603
5672,1914.9465
5681,2835.883
5700,1545.7239
5703,1075.874
5707,469.7603
5711,684.10785
5715,2519.2122
5720,897.2383
5721,469.7603
5723,2361.5981
5733,1203.1866
5738,469.7603
5747,3560.4834
5756,703.22455
5759,1417.6273
5760,1539.1167
5765,1205.895
5774,462.255
5780,2553.6746
5783,925.43036
5798,469.7603
5799,2119.101
5806,1335.0695
